iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
DZA,Africa,Algeria,2021-09-06,198313.0,309.0,391.286,5445.0,25.0,29.286,4444.823,6.926,8.77,122.04,0.56,0.656,0.76,36.0,0.807,,,,,,,,,,,,,,,,,,,,,,,,,,,,44616626.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,
AGO,Africa,Angola,2021-09-06,48790.0,134.0,208.429,1282.0,12.0,10.286,1437.807,3.949,6.142,37.78,0.354,0.303,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33933611.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,
BEN,Africa,Benin,2021-09-06,16946.0,0.0,511.429,135.0,0.0,1.0,1361.012,0.0,41.075,10.842,0.0,0.08,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12451031.0,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,
BWA,Africa,Botswana,2021-09-06,162186.0,2869.0,751.286,2309.0,33.0,6.857,67655.304,1196.793,313.396,963.191,13.766,2.86,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2397240.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,
BFA,Africa,Burkina Faso,2021-09-06,13851.0,10.0,11.857,171.0,0.0,0.0,644.32,0.465,0.552,7.955,0.0,0.0,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21497097.0,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,
BDI,Africa,Burundi,2021-09-06,12585.0,0.0,84.429,38.0,0.0,0.0,1026.892,0.0,6.889,3.101,0.0,0.0,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12255429.0,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,
CMR,Africa,Cameroon,2021-09-06,84210.0,0.0,112.143,1357.0,0.0,1.0,3093.197,0.0,4.119,49.845,0.0,0.037,0.18,,,,,,,,,,,,,,,,,,435676.0,355561.0,80115.0,,,1060.0,1.6,1.31,0.29,,39.0,22.22,27224262.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,
CPV,Africa,Cape Verde,2021-09-06,36012.0,84.0,104.143,316.0,1.0,0.857,64089.582,149.493,185.34,562.377,1.78,1.525,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561901.0,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,
CAF,Africa,Central African Republic,2021-09-06,11296.0,0.0,3.714,100.0,0.0,0.143,2295.941,0.0,0.755,20.325,0.0,0.029,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4919987.0,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0,53.28,0.397,
TCD,Africa,Chad,2021-09-06,4996.0,0.0,0.714,174.0,0.0,0.0,295.359,0.0,0.042,10.287,0.0,0.0,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16914985.0,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,
COM,Africa,Comoros,2021-09-06,4086.0,0.0,3.0,147.0,0.0,0.0,4598.99,0.0,3.377,165.456,0.0,0.0,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888456.0,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,
COG,Africa,Congo,2021-09-06,13588.0,0.0,0.0,183.0,0.0,0.0,2401.973,0.0,0.0,32.349,0.0,0.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5657017.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
CIV,Africa,Cote d'Ivoire,2021-09-06,57056.0,201.0,219.714,477.0,10.0,5.857,2108.996,7.43,8.121,17.632,0.37,0.217,1.15,,,,,,,,,,,,,,,,,,1443607.0,1443607.0,,,9434.0,16589.0,5.34,5.34,,,613.0,,27053629.0,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,
