iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
AFG,Asia,Afghanistan,2021-09-06,153534.0,159.0,55.143,7141.0,14.0,3.571,3854.207,3.991,1.384,179.263,0.351,0.09,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,
ARM,Asia,Armenia,2021-09-06,245264.0,239.0,521.857,4924.0,13.0,13.429,82632.555,80.522,175.82,1658.958,4.38,4.524,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2968128.0,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,
AZE,Asia,Azerbaijan,2021-09-06,445278.0,2406.0,3453.571,5879.0,37.0,41.0,43555.025,235.344,337.812,575.056,3.619,4.01,0.99,,,,,,,,,,,,,,,,,,7236381.0,4359737.0,2876644.0,,1107.0,78193.0,70.78,42.64,28.14,,7648.0,,10223344.0,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,
BHR,Asia,Bahrain,2021-09-06,273113.0,105.0,94.286,1388.0,0.0,0.0,156216.771,60.059,53.93,793.916,0.0,0.0,0.98,,,,,,,,,,,,,,,,,,2508943.0,1152040.0,1093547.0,,3496.0,3354.0,143.51,65.9,62.55,,1918.0,,1748295.0,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.852,
BGD,Asia,Bangladesh,2021-09-06,1517166.0,2710.0,2843.571,26628.0,65.0,74.143,9122.875,16.296,17.099,160.117,0.391,0.446,0.65,,,,,,,,,,,,,,,,,,28074272.0,19340488.0,8733784.0,,358947.0,295335.0,16.88,11.63,5.25,,1776.0,,166303494.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,
BTN,Asia,Bhutan,2021-09-06,2596.0,0.0,0.143,3.0,0.0,0.0,3328.632,0.0,0.183,3.847,0.0,0.0,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779900.0,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,
BRN,Asia,Brunei,2021-09-06,3464.0,371.0,117.571,15.0,3.0,1.0,7845.411,840.256,266.281,33.973,6.795,2.265,1.37,,,,,,,,,,,,,,,,,,353428.0,234945.0,118483.0,,,5058.0,80.05,53.21,26.83,,11456.0,79.63,441532.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838,
KHM,Asia,Cambodia,2021-09-06,95828.0,528.0,458.857,1970.0,13.0,11.143,5654.755,31.157,27.077,116.249,0.767,0.658,0.95,,,,,,,,,,,,,,,,,,20059399.0,11291465.0,9001123.0,680353.0,132412.0,163824.0,118.37,66.63,53.12,4.01,9667.0,,16946446.0,90.672,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594,
CHN,Asia,China,2021-09-06,95127.0,36.0,26.429,4636.0,0.0,0.0,65.868,0.025,0.018,3.21,0.0,0.0,0.83,,,,,,,,,,,,,,,,,,2113083000.0,1095000000.0,969720000.0,,5638000.0,8159571.0,146.31,75.82,67.15,,5650.0,,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,
GEO,Asia,Georgia,2021-09-06,565957.0,1120.0,2989.143,7867.0,61.0,76.857,142208.362,281.423,751.084,1976.746,15.328,19.312,0.82,,,,,,,,,,,,,,,,,,1340062.0,850868.0,489194.0,,14029.0,21784.0,33.67,21.38,12.29,,5474.0,,3979773.0,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,
