iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
ALB,Europe,Albania,2021-09-06,151499.0,502.0,880.857,2519.0,4.0,3.429,52733.199,174.734,306.605,876.804,1.392,1.193,1.25,,,,,,,,,,,,,,,,,,1539232.0,865281.0,673951.0,,,11598.0,53.58,30.12,23.46,,4037.0,,2872934.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,
AND,Europe,Andorra,2021-09-06,15069.0,14.0,5.286,130.0,0.0,0.0,194805.698,180.986,68.331,1680.585,0.0,0.0,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,
AUT,Europe,Austria,2021-09-06,697510.0,605.0,1490.571,10801.0,8.0,2.714,77131.975,66.902,164.83,1194.395,0.885,0.3,1.08,,,,,,,,,,,,,,,,,,10528008.0,5544659.0,5248980.0,,6414.0,11535.0,116.42,61.31,58.04,,1276.0,58.8,9043072.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,
BLR,Europe,Belarus,2021-09-06,492399.0,1473.0,1719.286,3847.0,10.0,11.286,52145.074,155.991,182.072,407.397,1.059,1.195,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9442867.0,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.823,
BEL,Europe,Belgium,2021-09-06,1196656.0,4648.0,1978.0,25421.0,24.0,6.714,102873.25,399.576,170.043,2185.374,2.063,0.577,1.05,,,,,,,,,,,,,,,,,,16303919.0,8460720.0,8204239.0,,4701.0,18581.0,140.16,72.73,70.53,,1597.0,43.06,11632334.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BIH,Europe,Bosnia and Herzegovina,2021-09-06,217362.0,1238.0,569.0,9906.0,44.0,16.286,66604.79,379.352,174.355,3035.43,13.483,4.99,1.41,,,,,,,,,,,,,,,,,,,,,,,6601.0,,,,,2023.0,,3263459.0,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,
BGR,Europe,Bulgaria,2021-09-06,462710.0,677.0,1288.714,19149.0,34.0,44.143,67091.945,98.164,186.861,2776.563,4.93,6.401,0.9,,,,,,,,,,,,,,,,,,2356197.0,,1200713.0,,1654.0,8154.0,34.16,,17.41,,1182.0,,6896655.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,
HRV,Europe,Croatia,2021-09-06,378022.0,184.0,670.286,8375.0,5.0,6.286,92614.838,45.08,164.219,2051.863,1.225,1.54,1.3,,,,,,,,,,,,,,,,,,3302352.0,1744048.0,1633388.0,,5096.0,5357.0,80.91,42.73,40.02,,1312.0,,4081657.0,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,
CYP,Europe,Cyprus,2021-09-06,115269.0,223.0,240.143,516.0,1.0,2.143,129806.702,251.125,270.43,581.078,1.126,2.413,0.84,,,,,,,,,,,,,,,,,,1110044.0,581422.0,528622.0,,,2235.0,125.0,65.48,59.53,,2517.0,,888005.0,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,
CZE,Europe,Czechia,2021-09-06,1680697.0,138.0,250.429,30406.0,0.0,0.571,156714.877,12.868,23.351,2835.176,0.0,0.053,1.21,,,,,,,,,,,,,,,,,,11566058.0,5979639.0,5794848.0,,16622.0,15552.0,107.85,55.76,54.03,,1450.0,,10724553.0,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,
