iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
ATG,North America,Antigua and Barbuda,2021-09-06,1878.0,8.0,23.571,46.0,0.0,0.286,19021.959,81.031,238.751,465.927,0.0,2.894,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98728.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,
ABW,North America,Aruba,2021-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149590.0,79209.0,70381.0,,,277.0,139.55,73.89,65.66,,2584.0,37.96,107195.0,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,
BHS,North America,Bahamas,2021-09-06,18853.0,159.0,102.0,439.0,27.0,12.143,47498.954,400.591,256.983,1106.033,68.025,30.593,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396914.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,
BRB,North America,Barbados,2021-09-06,5417.0,68.0,69.429,51.0,0.0,0.286,18828.117,236.351,241.316,177.263,0.0,0.993,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287708.0,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,
BLZ,North America,Belize,2021-09-06,16950.0,200.0,104.286,364.0,1.0,0.714,41860.637,493.931,257.55,898.954,2.47,1.764,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,
CAN,North America,Canada,2021-09-06,1523668.0,1043.0,2787.286,27073.0,1.0,14.429,40024.994,27.398,73.219,711.176,0.026,0.379,0.91,501.0,13.161,1359.0,35.699,,,,,,,,,,,,,,53851096.0,28129799.0,25721297.0,,39787.0,84844.0,141.46,73.89,67.57,,2229.0,75.46,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,
CYM,North America,Cayman Islands,2021-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102052.0,52158.0,49894.0,,,195.0,153.47,78.44,75.03,,2932.0,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,
CRI,North America,Costa Rica,2021-09-06,478144.0,5829.0,2428.429,5642.0,74.0,21.429,93041.267,1134.256,472.544,1097.868,14.4,4.17,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5139053.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CUB,North America,Cuba,2021-09-06,696904.0,7230.0,7198.714,5788.0,85.0,81.286,61577.568,638.834,636.069,511.42,7.51,7.182,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11317498.0,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,
CUW,North America,Curacao,2021-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183592.0,96529.0,87063.0,,,191.0,111.41,58.57,52.83,,1159.0,,164796.0,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,
