iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
ARG,South America,Argentina,2021-09-06,5207695.0,3893.0,4115.143,112673.0,162.0,152.286,114189.256,85.362,90.233,2470.584,3.552,3.339,0.75,,,,,,,,,,,,,,,,,,44667497.0,28344998.0,16322499.0,,266060.0,390994.0,97.94,62.15,35.79,,8573.0,75.93,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,
BOL,South America,Bolivia,2021-09-06,492680.0,0.0,316.143,18512.0,0.0,11.857,41636.328,0.0,26.717,1564.447,0.0,1.002,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,
BRA,South America,Brazil,2021-09-06,20899933.0,9154.0,21093.143,583810.0,182.0,605.143,97666.232,42.777,98.569,2728.168,0.85,2.828,0.89,,,,,,,,,,,,,,,,,,202266292.0,139358218.0,67383668.0,,1551548.0,1537738.0,94.52,65.12,31.49,,7186.0,,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,
CHL,South America,Chile,2021-09-06,1641526.0,435.0,456.571,37108.0,18.0,26.429,85441.134,22.642,23.764,1931.465,0.937,1.376,0.8,,,,,,,,,,,,,,,,,,29589680.0,14449896.0,13799306.0,1892564.0,148408.0,107579.0,154.01,75.21,71.83,9.85,5599.0,,19212362.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,
COL,South America,Colombia,2021-09-06,4919773.0,1124.0,1787.0,125331.0,53.0,64.0,95965.908,21.925,34.858,2444.727,1.034,1.248,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.39,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,
ECU,South America,Ecuador,2021-09-06,503883.0,116.0,383.143,32353.0,2.0,15.571,28168.026,6.485,21.418,1808.595,0.112,0.87,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.74,17888474.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.759,
GUY,South America,Guyana,2021-09-06,26510.0,0.0,158.143,641.0,0.0,4.0,33542.993,0.0,200.098,811.055,0.0,5.061,1.19,,,,,,,,,,,,,,,,,,,,,,,2570.0,,,,,3252.0,,790329.0,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,
PRY,South America,Paraguay,2021-09-06,458844.0,0.0,55.571,15889.0,0.0,21.0,63554.961,0.0,7.697,2200.802,0.0,2.909,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7219641.0,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,
PER,South America,Peru,2021-09-06,2155508.0,474.0,845.286,198523.0,35.0,37.143,64614.682,14.209,25.339,5951.034,1.049,1.113,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33359415.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,
SUR,South America,Suriname,2021-09-06,31012.0,157.0,292.143,740.0,2.0,3.143,52403.016,265.293,493.653,1250.427,3.38,5.311,1.38,,,,,,,,,,,,,,,,,,353646.0,207140.0,146506.0,,2036.0,2684.0,59.76,35.0,24.76,,4535.0,,591798.0,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738,
URY,South America,Uruguay,2021-09-06,385780.0,120.0,143.143,6034.0,0.0,0.714,110692.446,34.432,41.072,1731.345,0.0,0.205,1.14,,,,,,,,,,,,,,,,,,5779908.0,2686748.0,2530665.0,562495.0,38602.0,34494.0,165.84,77.09,72.61,16.14,9897.0,52.78,3485152.0,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14.0,19.9,,2.8,77.91,0.817,
VEN,South America,Venezuela,2021-09-06,340187.0,932.0,834.857,4098.0,12.0,12.571,11851.163,32.468,29.084,142.763,0.418,0.438,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28704947.0,36.253,29.0,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711,
