iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
AFG,Asia,Afghanistan,2021-09-06,153534.0,159.0,55.143,7141.0,14.0,3.571,3854.207,3.991,1.384,179.263,0.351,0.09,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,
ALB,Europe,Albania,2021-09-06,151499.0,502.0,880.857,2519.0,4.0,3.429,52733.199,174.734,306.605,876.804,1.392,1.193,1.25,,,,,,,,,,,,,,,,,,1539232.0,865281.0,673951.0,,,11598.0,53.58,30.12,23.46,,4037.0,,2872934.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,
DZA,Africa,Algeria,2021-09-06,198313.0,309.0,391.286,5445.0,25.0,29.286,4444.823,6.926,8.77,122.04,0.56,0.656,0.76,36.0,0.807,,,,,,,,,,,,,,,,,,,,,,,,,,,,44616626.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,
AND,Europe,Andorra,2021-09-06,15069.0,14.0,5.286,130.0,0.0,0.0,194805.698,180.986,68.331,1680.585,0.0,0.0,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,
AGO,Africa,Angola,2021-09-06,48790.0,134.0,208.429,1282.0,12.0,10.286,1437.807,3.949,6.142,37.78,0.354,0.303,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33933611.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,
ATG,North America,Antigua and Barbuda,2021-09-06,1878.0,8.0,23.571,46.0,0.0,0.286,19021.959,81.031,238.751,465.927,0.0,2.894,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98728.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,
ARG,South America,Argentina,2021-09-06,5207695.0,3893.0,4115.143,112673.0,162.0,152.286,114189.256,85.362,90.233,2470.584,3.552,3.339,0.75,,,,,,,,,,,,,,,,,,44667497.0,28344998.0,16322499.0,,266060.0,390994.0,97.94,62.15,35.79,,8573.0,75.93,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,
ARM,Asia,Armenia,2021-09-06,245264.0,239.0,521.857,4924.0,13.0,13.429,82632.555,80.522,175.82,1658.958,4.38,4.524,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2968128.0,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,
ABW,North America,Aruba,2021-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149590.0,79209.0,70381.0,,,277.0,139.55,73.89,65.66,,2584.0,37.96,107195.0,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,
AUS,Oceania,Australia,2021-09-06,64621.0,1466.0,1536.143,1052.0,8.0,6.571,2505.834,56.848,59.568,40.794,0.31,0.255,1.3,,,,,,,,,,,,,,,,,,20985989.0,13117691.0,7868298.0,,130636.0,271464.0,81.38,50.87,30.51,,10527.0,,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,
AUT,Europe,Austria,2021-09-06,697510.0,605.0,1490.571,10801.0,8.0,2.714,77131.975,66.902,164.83,1194.395,0.885,0.3,1.08,,,,,,,,,,,,,,,,,,10528008.0,5544659.0,5248980.0,,6414.0,11535.0,116.42,61.31,58.04,,1276.0,58.8,9043072.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,
AZE,Asia,Azerbaijan,2021-09-06,445278.0,2406.0,3453.571,5879.0,37.0,41.0,43555.025,235.344,337.812,575.056,3.619,4.01,0.99,,,,,,,,,,,,,,,,,,7236381.0,4359737.0,2876644.0,,1107.0,78193.0,70.78,42.64,28.14,,7648.0,,10223344.0,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,
BHS,North America,Bahamas,2021-09-06,18853.0,159.0,102.0,439.0,27.0,12.143,47498.954,400.591,256.983,1106.033,68.025,30.593,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396914.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,
BHR,Asia,Bahrain,2021-09-06,273113.0,105.0,94.286,1388.0,0.0,0.0,156216.771,60.059,53.93,793.916,0.0,0.0,0.98,,,,,,,,,,,,,,,,,,2508943.0,1152040.0,1093547.0,,3496.0,3354.0,143.51,65.9,62.55,,1918.0,,1748295.0,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.852,
BGD,Asia,Bangladesh,2021-09-06,1517166.0,2710.0,2843.571,26628.0,65.0,74.143,9122.875,16.296,17.099,160.117,0.391,0.446,0.65,,,,,,,,,,,,,,,,,,28074272.0,19340488.0,8733784.0,,358947.0,295335.0,16.88,11.63,5.25,,1776.0,,166303494.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,
BRB,North America,Barbados,2021-09-06,5417.0,68.0,69.429,51.0,0.0,0.286,18828.117,236.351,241.316,177.263,0.0,0.993,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287708.0,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,
BLR,Europe,Belarus,2021-09-06,492399.0,1473.0,1719.286,3847.0,10.0,11.286,52145.074,155.991,182.072,407.397,1.059,1.195,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9442867.0,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.823,
BEL,Europe,Belgium,2021-09-06,1196656.0,4648.0,1978.0,25421.0,24.0,6.714,102873.25,399.576,170.043,2185.374,2.063,0.577,1.05,,,,,,,,,,,,,,,,,,16303919.0,8460720.0,8204239.0,,4701.0,18581.0,140.16,72.73,70.53,,1597.0,43.06,11632334.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BLZ,North America,Belize,2021-09-06,16950.0,200.0,104.286,364.0,1.0,0.714,41860.637,493.931,257.55,898.954,2.47,1.764,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,
BEN,Africa,Benin,2021-09-06,16946.0,0.0,511.429,135.0,0.0,1.0,1361.012,0.0,41.075,10.842,0.0,0.08,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12451031.0,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,
BTN,Asia,Bhutan,2021-09-06,2596.0,0.0,0.143,3.0,0.0,0.0,3328.632,0.0,0.183,3.847,0.0,0.0,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779900.0,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,
BOL,South America,Bolivia,2021-09-06,492680.0,0.0,316.143,18512.0,0.0,11.857,41636.328,0.0,26.717,1564.447,0.0,1.002,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,
