iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
ARG,South America,Argentina,2021-09-18,5238610.0,1451.0,2143.714,114367.0,81.0,144.429,114867.13,31.816,47.005,2507.728,1.776,3.167,,,,,,,,,,,,,,,,,,,48572796.0,28968475.0,19623356.0,,262026.0,268844.0,106.51,63.52,43.03,,5895.0,,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,
BOL,South America,Bolivia,2021-09-18,496950.0,250.0,326.571,18654.0,6.0,12.286,41997.185,21.127,27.599,1576.447,0.507,1.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,
BRA,South America,Brazil,2021-09-18,21230325.0,150106.0,34451.571,590508.0,935.0,564.286,99210.167,701.451,160.994,2759.468,4.369,2.637,,,,,,,,,,,,,,,,,,,220596996.0,145788916.0,79345927.0,,,1474516.0,103.09,68.13,37.08,,6890.0,,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,
CHL,South America,Chile,2021-09-18,1646994.0,591.0,480.571,37339.0,21.0,19.714,85725.743,30.761,25.014,1943.488,1.093,1.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19212362.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,
COL,South America,Colombia,2021-09-18,4939251.0,1655.0,1524.714,125860.0,34.0,38.286,96345.849,32.283,29.741,2455.046,0.663,0.747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,
ECU,South America,Ecuador,2021-09-18,505860.0,0.0,85.429,32559.0,0.0,16.429,28278.544,0.0,4.776,1820.111,0.0,0.918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17888474.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.759,
GUY,South America,Guyana,2021-09-18,29345.0,273.0,223.286,713.0,7.0,5.571,37130.107,345.426,282.522,902.156,8.857,7.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790329.0,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,
PRY,South America,Paraguay,2021-09-18,459580.0,56.0,53.286,16123.0,3.0,4.286,63656.905,7.757,7.381,2233.214,0.416,0.594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7219641.0,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,
PER,South America,Peru,2021-09-18,2166419.0,2039.0,870.286,198976.0,85.0,35.429,64941.756,61.122,26.088,5964.613,2.548,1.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33359415.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,
SUR,South America,Suriname,2021-09-18,36746.0,318.0,524.286,803.0,7.0,6.0,62092.133,537.346,885.92,1356.882,11.828,10.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591798.0,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738,
URY,South America,Uruguay,2021-09-18,387555.0,106.0,141.857,6048.0,2.0,1.286,111201.75,30.415,40.703,1735.362,0.574,0.369,,,,,,,,,,,,,,,,,,,6017599.0,2716924.0,2558828.0,741847.0,51.0,14134.0,172.66,77.96,73.42,21.29,4055.0,,3485152.0,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14.0,19.9,,2.8,77.91,0.817,
VEN,South America,Venezuela,2021-09-18,353401.0,0.0,949.429,4275.0,0.0,11.857,12311.502,0.0,33.075,148.929,0.0,0.413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28704947.0,36.253,29.0,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711,
